"S_ID","SBF_CLARITY","SBF_COGACT","SBF_DISCOURSE","SBF_MEANING","SBF_ADAPT","SBF_CM_DISRUPT","SBF_CM_TEACHMAN","SBF_TESUP","SBF_SUPCOM","SBF_SUPAUT","SBF_REL_STUDTEACH","SBF_FEEDBACK","SQB08A","SQB08B","SQB08C","SQB08D","SQB08E","SQB08F","SQB08G","SQB08H","SQB08I","SQB08J","SQB08K","SQB09A","SQB09B","SQB09C","SQB09D","SQB10A","SQB10B","SQB10C","SQB10D","SQB10E","SQB11A","SQB11B","SQB11C","SQB11F","SQB11G","SQB11I","SQB11J","SQB12A","SQB12B","SQB12C","SQB12D","SQB12E","SQB12F","SQB12G","SQB12H","SQB12I","SQB12J","SQB12K","SQB13A","SQB13B","SQB13C","SQB13D","SQB13E","SQB16A","SQB16B","SQB16C","SQB16D"
"00152-0001-0001-0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0002",-1.03394808653724,-0.856881094131491,-1.03418124901909,-1.22629833913722,-0.933010836322279,-0.249273248237406,-0.769697064562329,-0.83081976714498,-0.547281794879632,-0.558062889550079,-0.4890517273586,0.176833213386869,2,1,2,3,3,1,2,1,2,1,3,1,2,2,2,NA,NA,NA,NA,NA,2,3,2,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,4,3,3,2
"00152-0001-0001-0003",-0.199745591653682,-0.0139346995863134,-0.0495045580844657,-0.229544116813051,-0.540385867118005,0.245909999627461,-0.148473285991686,-0.351571825254609,-0.212285983259732,-0.178585137154555,-0.238359721580512,-0.223650318533796,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
"00152-0001-0001-0004",1.50676750040228,1.13074178093577,1.99723173940253,1.46086476680567,1.76171288110317,0.230500879896666,0.256528543943479,1.56244657734023,1.6966271007303,1.58685021183849,1.47923821083591,1.02552213789647,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4
"00152-0001-0001-0006",0.717808600577274,0.804132384877084,1.17263130255423,-1.29853612657918,0.978124320069028,-0.247886484513839,-0.187571505636876,0.695482102961209,0.388409439587602,0.347845253254283,0.948898073160845,0.545499654327308,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,3,2,3,3,2,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,2,2,4,4
"00152-0001-0001-0007",-0.786208642914828,-1.14830100922214,-2.06042444447775,-1.87225493937244,-1.26609309719427,0.237929337399706,-0.745788712410959,-1.91408589634206,-1.7618606372256,-1.69209573413019,0.265404941365356,-1.01451385635342,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,4,2,3,4,4,4,4,1,1,1,1
"00152-0001-0001-0008",1.01160075692141,-0.219188769000804,0.291211686985167,1.17157740864777,1.24330171353988,0.756364943318446,1.27155826322458,1.41333189236078,1.40004816409103,1.150750507808,0.712728973610252,1.20477558527608,4,4,4,4,4,3,1,1,4,1,1,4,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4
"00152-0001-0001-0009",0.428518802717998,-0.0206820668122478,0.0218942872981726,0.748351609412462,-0.0371075533492998,-0.644088696124299,-0.0752544601538947,-0.179388215860919,-0.155546071904507,-0.156544763324255,-0.203506957264831,-0.125676636385862,4,4,4,3,3,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
"00152-0001-0001-0011",-1.07813394716278,-0.642161980673431,-0.989726350921656,-1.34141944749897,-1.09522329045429,-0.0904810164551,-0.757420557543551,-1.02160112971811,-1.00622680191496,-0.914369947721942,-0.894885251342676,-0.555940177776746,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0012",-0.219458917521227,-0.111838522431528,-0.23638715828228,-0.223821228396621,-0.28868212271825,-0.609266347061543,-0.174154275045118,-0.318669164233083,-0.310949533575855,-0.260247813752336,-0.268230470346111,-0.121294974517961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,2,2,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA
