"S_ID","SAF_SELFCON","SQA06A","SQA06B","SQA06C","SQA06D","SQA06E","SQA06F","SBF_SELFCON","SQB01A","SQB01B","SQB01C","SQB01D","SQB01E","SQB01F","SAF_PINT","SQA14A","SQA14B","SQA14C","SBF_PINT","SQB03A","SQB03B","SQB03C","SAF_GENSELFEFF","SQA15A","SQA15B","SQA15C","SQA15D","SQA15E","SBF_GENSELFEFF","SQB02A","SQB02B","SQB02C","SQB02D","SQB02E","SAF_EFFICACY_MATCHED","SQA16F2","SQA16G2","SQA16H2","SQA16I2","SQA16J2","SBF_EFFICACY_MATCHED","SQB07CA","SQB07CB","SQB07CC","SQB07CD","SQB07CE"
"00152-0001-0001-0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0002",1.39156185110939,4,3,4,4,4,4,0.811426966283692,3,3,3,4,3,3,0.688657674540425,3,4,3,0.407754629074501,3,3,3,0.341857988781911,3,4,3,2,3,0.580775960898881,3,3,3,3,3,0.687053604439021,3,3,4,3,4,-0.290596721307951,2,2,3,3,2
"00152-0001-0001-0003",NA,NA,NA,NA,NA,NA,NA,-2.08172567444038,1,1,1,1,1,1,-0.439421217306059,2,3,2,0.141034122678427,3,3,2,-1.91741951870438,1,1,1,1,1,-1.69756034126817,1,1,1,1,1,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0004",-0.3749040896099,3,3,2,2,3,2,-0.738198857530861,2,2,2,2,2,2,0.199253504854407,3,3,3,-0.156778579949398,3,2,3,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0006",-0.137949842186792,3,3,2,3,3,2,-0.738198857530861,2,2,2,2,2,2,0.199253504854407,3,3,3,-0.624960511436945,2,2,2,-0.754875266066217,2,2,2,2,2,0.580775960898881,3,3,3,3,3,-0.380625596367436,2,2,2,2,2,0.205761128204731,3,3,3,3,3
"00152-0001-0001-0007",-0.972266536594156,2,1,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.201955540710782,2,3,2,-0.754875266066217,2,2,2,2,2,-1.41106854101579,1,1,1,2,1,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0008",1.6159765663441,4,4,4,4,4,4,1.88016172456212,4,4,4,4,4,4,1.33147011590942,4,4,4,1.55676885328632,4,4,4,1.511153808915,4,4,4,4,4,1.80815764288501,4,4,4,4,4,0.966021817619201,4,4,4,4,3,1.18631450956407,4,4,NA,4,4
"00152-0001-0001-0009",-0.0154283877519232,3,2,3,3,2,3,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.0014335159512155,2,3,3,0.272416208867303,3,3,3,3,3,-0.525747058512636,2,1,2,3,2,-0.380625596367436,2,2,2,2,2,-0.478460001401862,3,2,2,2,2
"00152-0001-0001-0011",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,NA,NA,NA,NA,-0.624960511436945,2,2,2,-0.754875266066217,2,2,2,2,2,-1.18621080222811,2,1,1,2,1,-0.351454030951271,NA,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0012",-0.31545019349791,3,2,2,2,3,3,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,0.0737042900884769,2,3,3,3,3,-0.90258188155168,2,2,2,1,1,-0.290357607752079,3,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0013",-0.31545019349791,3,2,2,2,3,3,-0.215063370670217,2,2,3,3,2,2,-0.652423847353105,2,3,1,-1.6026139971396,1,1,1,-0.477079887003982,1,3,3,2,2,-0.633033471076412,1,1,3,3,1,-0.777434266691904,NA,1,1,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0014",-2.05210487379039,1,1,1,1,1,1,-2.08172567444038,1,1,1,1,1,1,-0.848178210081668,2,2,2,-1.6026139971396,1,1,1,-1.21092011026993,1,2,1,2,2,-1.69756034126817,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0015",0.0888179034574471,3,3,3,3,3,2,-0.224570776021311,1,1,2,NA,4,4,-0.848178210081668,2,2,2,-0.834303577306735,2,2,1,-0.754875266066217,2,2,2,2,2,-0.100798418984435,2,3,2,3,2,0.317080326613267,3,3,3,3,3,-0.568801598790142,NA,2,2,2,2
"00152-0001-0001-0016",-1.16436490158367,2,2,1,1,3,2,-0.551564620656734,2,2,2,2,3,2,-0.0774978699633682,3,3,2,-0.834303577306735,2,2,1,-0.550313759412937,3,2,2,2,2,0.381805687058413,2,3,3,3,3,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0017",NA,NA,NA,NA,NA,NA,NA,-0.551564620656734,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0930951612114424,2,2,2,3,3,NA,NA,NA,NA,NA,NA,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0018",0.747848929613303,3,3,4,3,4,3,-0.386528622966912,2,3,2,2,2,3,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,-0.335921887561698,2,2,3,3,2,-1.08749906606322,1,2,2,1,1,-0.114469932934521,2,3,2,3,2,-0.533144912053288,2,3,2,2,1
"00152-0001-0001-0020",-1.53539426200692,1,1,1,2,2,1,-0.738198857530861,2,2,2,2,2,2,-0.328863099905878,3,2,3,NA,NA,NA,NA,-0.531628763802979,1,2,3,3,2,-1.69756034126817,1,1,1,1,1,-0.23319063340772,3,NA,1,3,3,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0021",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.439421217306059,2,3,2,0.141034122678427,3,3,2,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,0.317080326613267,3,3,3,3,3,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0022",0.502573429703586,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,0.199253504854407,3,3,3,NA,NA,NA,NA,0.272416208867303,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.677615929756128,2,4,3,4,4,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0023",NA,NA,NA,NA,NA,NA,NA,-0.0363348552440594,3,2,3,3,2,2,NA,NA,NA,NA,0.407754629074501,3,3,3,NA,NA,NA,NA,NA,NA,0.890375096929494,2,3,4,4,3,NA,NA,NA,NA,NA,NA,0.205761128204731,3,3,3,3,3
"00152-0001-0001-0024",NA,NA,NA,NA,NA,NA,NA,-0.133632726810087,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47544945685103,4,4,4,4,3,NA,NA,NA,NA,NA,NA,-0.547435278869046,2,2,2,2,NA
