COUNTRY,SCH_ID,T_ID,IDCNTRY,IDSCHOOL,IDTEACH,LESSON_DATE_D,LESSON_DATE_M,LESSON_DATE_Y,TL02,TL03,TL04,TL05,TL06A,TL06B,TL06C,TL06D,TL07,TL08,TL09,COMMENT_TL,OTL_FUNCTIONS,OTL_REASONING,OTL_APPLIED,OTL_ALGEBRA,MIDDROP,DATE_TQA,DATE_TQB,DATE_TL
Chile,00152-0001,00152-0001-0001,152,1,1,,,,,,,,,,,,,,,,,,,,,16/08/18,25/10/18,
Chile,00152-0002,00152-0002-0002,152,2,2,20,6,2018,90,0,0,0,0,0,1,0,2,0,0,,0,2,0,1,,16/05/18,13/08/18,20/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,30,5,2018,90,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,16/05/18,13/08/18,30/05/18
Chile,00152-0002,00152-0002-0002,152,2,2,4,6,2018,90,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,16/05/18,13/08/18,04/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,13,6,2018,90,1,0,0,0,2,0,0,0,0,0,,0,0,0,2,,16/05/18,13/08/18,13/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,23,5,2018,90,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,16/05/18,13/08/18,23/05/18
Chile,00152-0002,00152-0002-0002,152,2,2,6,6,2018,90,1,0,0,1,2,0,0,0,0,0,,0,0,0,2,,16/05/18,13/08/18,06/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,28,5,2018,90,2,2,1,0,0,0,0,0,0,0,,0,0,0,2,,16/05/18,13/08/18,28/05/18
Chile,00152-0002,00152-0002-0002,152,2,2,11,6,2018,90,1,2,2,1,2,0,0,0,0,0,,0,0,0,2,,16/05/18,13/08/18,11/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,18,6,2018,90,1,0,0,0,1,2,0,1,0,0,,0,1,0,2,,16/05/18,13/08/18,18/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,27,6,2018,90,0,0,0,0,1,1,0,0,0,2,,0,0,2,1,,16/05/18,13/08/18,27/06/18
Chile,00152-0002,00152-0002-0002,152,2,2,25,6,2018,90,0,0,0,0,1,1,1,0,0,2,,1,0,2,1,,16/05/18,13/08/18,25/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,19,6,2018,90,0,0,1,0,0,0,2,0,1,0,,2,0,0,0,,09/05/18,17/08/18,19/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,29,6,2018,45,1,1,1,2,2,2,0,0,0,1,,0,0,1,2,,09/05/18,17/08/18,29/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,26,6,2018,90,1,1,1,0,0,0,0,0,0,1,,0,0,1,1,,09/05/18,17/08/18,26/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,1,6,2018,45,0,0,1,0,0,0,0,0,2,0,,2,0,0,0,,09/05/18,17/08/18,01/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,8,6,2018,45,0,0,1,0,0,0,1,2,1,0,,1,2,0,0,,09/05/18,17/08/18,08/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,5,6,2018,90,0,0,1,0,0,0,0,0,2,0,,2,0,0,0,,09/05/18,17/08/18,05/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,20,6,2018,90,0,0,1,0,0,0,2,0,1,0,,2,0,0,0,,09/05/18,17/08/18,20/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,27,6,2018,90,1,1,1,2,2,0,0,0,0,1,,0,0,1,2,,09/05/18,17/08/18,27/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,22,6,2018,45,0,0,1,0,0,0,2,0,2,0,,2,0,0,0,,09/05/18,17/08/18,22/06/18
Chile,00152-0005,00152-0005-0001,152,5,1,3,7,2018,90,1,1,1,2,2,2,0,0,0,1,,0,0,1,2,,09/05/18,17/08/18,03/07/18
Chile,00152-0005,00152-0005-0001,152,5,1,6,6,2018,90,0,0,1,0,0,0,0,2,1,0,,1,2,0,0,,09/05/18,17/08/18,06/06/18
Chile,00152-0007,00152-0007-0002,152,7,2,,,,,,,,,,,,,,,,,,,,,02/05/18,04/07/18,
Chile,00152-0010,00152-0010-0001,152,10,1,14,5,2018,90,2,1,2,0,2,0,1,2,0,0,,1,2,0,2,,04/05/18,05/06/18,14/05/18
Chile,00152-0010,00152-0010-0001,152,10,1,15,5,2018,90,1,1,2,0,2,2,1,2,0,0,,1,2,0,2,,04/05/18,05/06/18,15/05/18
Chile,00152-0010,00152-0010-0001,152,10,1,8,5,2018,90,2,1,1,0,2,0,1,2,0,0,,1,2,0,2,,04/05/18,05/06/18,08/05/18
Chile,00152-0010,00152-0010-0001,152,10,1,7,5,2018,90,1,1,2,0,0,0,1,2,0,0,,1,2,0,1,,04/05/18,05/06/18,07/05/18
Chile,00152-0010,00152-0010-0001,152,10,1,22,5,2018,90,1,0,2,0,1,1,1,1,0,0,,1,1,0,1,,04/05/18,05/06/18,22/05/18
Chile,00152-0010,00152-0010-0001,152,10,1,4,6,2018,90,2,2,2,0,2,2,2,2,0,0,,2,2,0,2,,04/05/18,05/06/18,04/06/18
