item,GTI construct
SQB08A,SB_clarity
SQB08B,SB_clarity
SQB08C,SB_clarity
SQB08D,SB_clarity
SQB08E,SB_cogact
SQB08F,SB_cogact
SQB08G,SB_cogact
SQB08H,SB_cogact
SQB08I,SB_discourse
SQB08J,SB_discourse
SQB08K,SB_discourse
SQB09A,SB_meaning
SQB09B,SB_meaning
SQB09C,SB_meaning
SQB09D,SB_meaning
SQB10A,SB_adapt
SQB10B,SB_adapt
SQB10C,SB_adapt
SQB10D,SB_adapt
SQB10E,SB_adapt
SQB11A,SB_cm_disrupr
SQB11B,SB_cm_disrupr
SQB11C,SB_cm_disrupr
SQB11D,
SQB11E,
SQB11F,SB_cm_teachman
SQB11G,SB_cm_teachman
SQB11H,
SQB11I,SB_cm_teachman
SQB11J,SB_cm_teachman
SQB12A,SB_tesup
SQB12B,SB_tesup
SQB12C,SB_tesup
SQB12D,SB_supcom
SQB12E,SB_supcom
SQB12F,SB_supcom
SQB12G,SB_supcom
SQB12H,SB_supaut
SQB12I,SB_supaut
SQB12J,SB_supaut
SQB12K,SB_supaut
SQB13A,SB_rel_studteach
SQB13B,SB_rel_studteach
SQB13C,SB_rel_studteach
SQB13D,SB_rel_studteach
SQB13E,SB_rel_studteach
SQB16A,SB_feedback
SQB16B,SB_feedback
SQB16C,SB_feedback
SQB16D,SB_feedback
