Rating.type	Name of component/indicator	Variable	Altname	Domain	Explanation	Max.rating	Aggregation.method
Component	Eliciting Student Thinking	VCOMP_AR1ES	AR_ElicitThinking	Assessment and Response to Student Understanding	Questions, prompts, and tasks elicit detailed student responses (written or spoken).	4	Basic Average (Average lesson rating for a teacher)
Component	Teacher Feedback	VCOMP_AR2TF	AR_Feedback	Assessment and Response to Student Understanding	Teacher responds to students' thinking via feedback loops that are focused on why 1) the students' thinking is correct or incorrect or 2) ideas/procedures are the way they are.	4	Basic Average (Average lesson rating for a teacher)
Component	Aligning Instruction	VCOMP_AR3AI	AR_AlignToStudents	Assessment and Response to Student Understanding	The teacher uses students' contributions.	4	Basic Average (Average lesson rating for a teacher)
Component	Engagement in Cognitively Demanding Subject Matter	VCOMP_CE1DS	CE_CognitiveDemand	Cognitive Engagement	Students regularly engage in analyses, creation, or evaluation work that is cognitively rich and requires thoughtfulness.	4	Basic Average (Average lesson rating for a teacher)
Component	Multiple Approaches	VCOMP_CE2MA	CE_MultipleApproaches	Cognitive Engagement	Students use multiple solution strategies and/or reasoning approaches.	4	Basic Average (Average lesson rating for a teacher)
Component	Understanding of Subject Matter	VCOMP_CE3US	CE_UnderstandProcesses	Cognitive Engagement	Students engage in opportunities to understand the rationale(s) for subject matter procedures and processes. I.e., Students state the goals or properties of procedures and processes, state why a procedure or a solution is the way it is, or visually designate the elements or steps in a process or procedure.	4	Basic Average (Average lesson rating for a teacher)
Component	Routines	VCOMP_CM1RT	CM_Routines	Classroom Management	The classroom has routines for common managerial tasks that are organized and efficient.	4	Basic Average (Average lesson rating for a teacher)
Component	Monitoring	VCOMP_CM2MN	CM_Monitoring	Classroom Management	The teacher monitors what is happening in the entire classroom (i.e., the teacher maintains physical proximity to students, scans the whole classroom, faces students, calls on a range of students, and notices student behavioral progress).	4	Basic Average (Average lesson rating for a teacher)
Component	Disruptions	VCOMP_CM3DS	CM_Disruptions	Classroom Management	The teacher quickly and effectively deals with disruptions.	4	Basic Average (Average lesson rating for a teacher)
Component	Nature of Discourse	VCOMP_DC1ND	DC_Discourse	Discourse	Students have opportunities to participate in the classroom discourse.	4	Basic Average (Average lesson rating for a teacher)
Component	Questioning	VCOMP_DC2QT	DC_Questioning	Discourse	Questions request students engage in a range of types of cognitive reasoning.	4	Basic Average (Average lesson rating for a teacher)
Component	Explanations	VCOMP_DC3EP	DC_Explanations	Discourse	Teacher and students provide written and/or verbal explanations. Explanations are descriptions of why ideas or procedures are the way they are.	4	Basic Average (Average lesson rating for a teacher)
Component	Explicit Connections	VCOMP_QS1EC	QS_Connections	Quality of Subject Matter	Teacher or students make explicit instructional connections between any two aspects of the subject matter. Aspects include subject matter ideas, procedures, perspectives, representations, or equations.	4	Basic Average (Average lesson rating for a teacher)
Component	Explicit Patterns and Generalizations	VCOMP_QS2PG	QS_Generalizations	Quality of Subject Matter	The teacher or students explicitly look for patterns in their work together. They also generalize from the specific work the students are working on to a foundational concept and/or definitions underlying the specific work.	4	Basic Average (Average lesson rating for a teacher)
Component	Clarity	VCOMP_QS3CT	QS_Clarity	Quality of Subject Matter	The extent to which the mathematical content around the learning goal of the lesson is presented clearly and students appear to follow along with the content of the lesson.	4	Basic Average (Average lesson rating for a teacher)
Component	Respect	VCOMP_SE1RP	SE_Respect	Social-Emotional Support	Teacher and students demonstrate respect for one another by using any of the following types of behaviors: respectful language, listening to one another, using appropriate names, using a respectful tone of voice, and using traditional markers of manners.	4	Basic Average (Average lesson rating for a teacher)
Component	Encouragement and Warmth	VCOMP_SE2EW	SE_Encouragement	Social-Emotional Support	The teacher and/or students provide encouragement to students throughout their work. (i.e., the teacher may reassure students when errors are made, make positive comments, compliment students' work).	4	Basic Average (Average lesson rating for a teacher)
Component	Risk-taking	VCOMP_SE3RT	SE_RiskTaking	Social-Emotional Support	Students seek guidance.	4	Basic Average (Average lesson rating for a teacher)
Indicator	Metacognition	VIND_CE1MTLES	CE_Metacognition (LESAVG)	Cognitive Engagement	The teacher asks students to engage in metacognition by explicitly asking students to reflect on their own thinking.	3	Basic Average (Average lesson rating for a teacher)
Indicator	Metacognition	VIND_CE1MTMAX	CE_Metacognition **(MAX)**	Cognitive Engagement	The teacher asks students to engage in metacognition by explicitly asking students to reflect on their own thinking.	3	Highest achieved (Average maximum rating)
Indicator	Repetitive Use Opportunities	VIND_CE2RUMAX	CE_RepetitiveUse	Cognitive Engagement	Students engage in the repetitious use of a specific skill or procedure.	3	Highest achieved (Average maximum rating)
Indicator	Technology for Understanding	VIND_CE3TULESNO1	CE_TechForUnderstanding (LESAVGNO1)	Cognitive Engagement	Students use technology for conceptual understanding.	4	Average excl. cases where the rating is equal to 1 (Average lesson rating for a teacher when present)
Indicator	Technology for Understanding	VIND_CE3TUPCT	CE_TechForUnderstanding (PCT)	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	4	Percent present (Average percentage of segments present)
Indicator	Class Tech - Overhead Projector	VIND_CEXCT1PCT	CE_Class_Projector	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Smartboard	VIND_CEXCT2PCT	CE_Class_Smartboard	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Graphing Calculator	VIND_CEXCT3PCT	CE_Class_GraphingCalc	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Non-Graphing Calculator	VIND_CEXCT4PCT	CE_Class_NonGraphingCalc	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Computer Laptop	VIND_CEXCT5PCT	CE_Class_Computer	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Television	VIND_CEXCT6PCT	CE_Class_TV	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Tablet	VIND_CEXCT7PCT	CE_Class_Tablet	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - Cell Phone	VIND_CEXCT8PCT	CE_Class_Cell	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Class Tech - None	VIND_CEXCT9PCT	CE_Class_NoTech	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - Graphing Calculator	VIND_CEXST3PCT	CE_Stud_GraphingCalc	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - Non-Graphing Calculator	VIND_CEXST4PCT	CE_Stud_NonGraphingCalc	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - Computer	VIND_CEXST5PCT	CE_Stud_Computer	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - Tablet	VIND_CEXST7PCT	CE_Stud_Tablet	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - Cell Phone	VIND_CEXST8PCT	CE_Stud_Cell	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Student Tech - None	VIND_CEXST9PCT	CE_Stud_NoTech	Cognitive Engagement	Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups.	2	Percent present (Average percentage of segments present)
Indicator	Software Use for Learning	VIND_CE10SUMAX	CE_SoftwareForLearning	Cognitive Engagement	Whether instructional software is used to assist or support learning of the mathematical topic through simulations, instructional games, interactive graphing, etc.	2	Highest achieved (Average maximum rating)
Indicator	Time on Task	VIND_CM1TTLES	CM_TimeOnTask	Classroom Management	Most of the segment for the ideal student is focused on mathematical learning. There is little loss of lesson time to activities or situations that are not directly focused on mathematical learning (e.g., greeting one another, behavior issues, classroom routines, transitions, off topic discussions). Mathematical learning can be the full range of activities in which the ideal student should be engaged - listening to a lecture, doing group work, working alone on a problem, etc.	4	Basic Average (Average lesson rating for a teacher)
Indicator	Activity: Whole Group	VIND_CM2AWPCT	CM_WholeGroup	Classroom Management	Arrangement of students in grouping structures	4	Percent present (Average percentage of segments present)
Indicator	Activity: Small Group	VIND_CM3ASPCT	CM_SmallGroup	Classroom Management	Arrangement of students in grouping structures	4	Percent present (Average percentage of segments present)
Indicator	Activity: Pairs	VIND_CM4APPCT	CM_Pairs	Classroom Management	Arrangement of students in grouping structures	4	Percent present (Average percentage of segments present)
Indicator	Activity: Individual	VIND_CM5AIPCT	CM_Individual	Classroom Management	Arrangement of students in grouping structures	4	Percent present (Average percentage of segments present)
Indicator	Discussing Opportunities	VIND_DC1DOMAX	DC_DiscussionOpps	Discourse	Whether a segment of instruction engages students in discussions that are clear and focused on the learning objective.	2	Highest achieved (Average maximum rating)
Indicator	Explicit Learning Goals	VIND_QS1ELLES	QS_ExplicitLearningGoals	Quality of Subject Matter	The extent to which the teacher poses explicit learning goal(s) to students for the lesson and activities.	3	Basic Average (Average lesson rating for a teacher)
Indicator	Accuracy	VIND_QS2ACLES	QS_Accuracy (LESAVG)	Quality of Subject Matter	The extent to which the public mathematics of the lesson is factually correct and accurate. There are no errors or imprecisions in the teacher's mathematics.	3	Basic Average (Average lesson rating for a teacher)
Indicator	Accuracy	VIND_QS2ACMIN	QS_Accuracy **(MIN)**	Quality of Subject Matter	The extent to which the public mathematics of the lesson is factually correct and accurate. There are no errors or imprecisions in the teacher's mathematics.	3	Lowest achieved (Average minimum rating)
Indicator	Real-World Connections	VIND_QS3RWLES	QS_RealWorldConnections (LESAVG)	Quality of Subject Matter	The extent to which what is being learned is connected or applied to something outside of school a real-life problem or a student's life experiences.	3	Basic Average (Average lesson rating for a teacher)
Indicator	Real-World Connections	VIND_QS3RWMAX	QS_RealWorldConnections **(MAX)**	Quality of Subject Matter	The extent to which what is being learned is connected or applied to something outside of school a real-life problem or a student's life experiences.	3	Highest achieved (Average maximum rating)
Indicator	Connecting Mathematical Topics	VIND_QS4CMLES	QS_ConnectingTopics (LESAVG)	Quality of Subject Matter	The extent to which the topic being learned is connected to other mathematical topics.	3	Basic Average (Average lesson rating for a teacher)
Indicator	Connecting Mathematical Topics	VIND_QS4CMMAX	QS_ConnectingTopics **(MAX)**	Quality of Subject Matter	The extent to which the topic being learned is connected to other mathematical topics.	3	Highest achieved (Average maximum rating)
Indicator	Mathematical Summary	VIND_QS5MSMAX	QS_MathSummary	Quality of Subject Matter	The extent to which the teacher or students provide a summary of the mathematics under consideration in this lesson. A summary is a review of what has or should have been learned in this lesson.	3	Highest achieved (Average maximum rating)
Indicator	Types of Representations: Graphs	VIND_QS6RGPCT	QS_Graphs	Quality of Subject Matter	For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it.	2	Percent present (Average percentage of segments present)
Indicator	Types of Representations: Tables	VIND_QS7RTPCT	QS_Tables	Quality of Subject Matter	For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it.	2	Percent present (Average percentage of segments present)
Indicator	Types of Representations: Drawings	VIND_QS8RDPCT	QS_Drawings	Quality of Subject Matter	For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it.	2	Percent present (Average percentage of segments present)
Indicator	Types of Representations: Equations	VIND_QS9REPCT	QS_Equations	Quality of Subject Matter	For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it.	2	Percent present (Average percentage of segments present)
Indicator	Types of Representations: Objects	VIND_QS10ROPCT	QS_Objects	Quality of Subject Matter	For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it.	2	Percent present (Average percentage of segments present)
Indicator	Organization of Procedural Instruction	VIND_QS11OPLES	QS_OrgProclnstruction	Quality of Subject Matter	The degree of organization, detail and correctness in the presentation of content when describing procedures or the steps of a procedure. Procedures are instructions for completing a mathematical algorithm or task (e.g., presenting new procedures, reviewing previously learned material, and doing the steps or processes used in the context of solving a problem/ problems).	3	Basic Average (Average lesson rating for a teacher)
Indicator	Persistence	VIND_SE1PSLESNO1	SE_Persistence (LESAVGNO1)	Social-Emotional Support	Student(s) persist through errors or mathematical struggles with the teacher's support.	4	Average excl. cases where the rating is equal to 1 (Average lesson rating for a teacher when present)
Indicator	Persistence	VIND_SE1PSPCT	SE_Persistence **(PCT)**	Social-Emotional Support	Student(s) persist through errors or mathematical struggles with the teacher's support.	4	Percent present (Average percentage of segments present)
Indicator	Requests for Public Sharing	VIND_SE2RPLES	SE_PublicSharing	Social-Emotional Support	The teacher requests students share their private mathematical thinking publicly.	3	Basic Average (Average lesson rating for a teacher)
