Variable	Altname	Max rating	Domain	Indicator	Aggregation method	Explanation
VIND_CE1MTLES	CE_Metacognition (LESAVG)	3	Cognitive Engagement	Metacognition	Basic Average (Average lesson rating for a teacher)	The teacher asks students to engage in metacognition by explicitly asking students to reflect on their own thinking.
VIND_CE1MTMAX	CE_Metacognition **(MAX)**	3	Cognitive Engagement	Metacognition	Highest achieved (Average maximum rating)	The teacher asks students to engage in metacognition by explicitly asking students to reflect on their own thinking.
VIND_CE2RUMAX	CE_RepetitiveUse	3	Cognitive Engagement	Repetitive Use Opportunities	Highest achieved (Average maximum rating)	Students engage in the repetitious use of a specific skill or procedure.
VIND_CE3TULESNO1	CE_TechForUnderstanding (LESAVGNO1)	4	Cognitive Engagement	Technology for Understanding	Average excl. cases where the rating is equal to 1 (Average lesson rating for a teacher when present)	Students use technology for conceptual understanding.
VIND_CE3TUPCT	CE_TechForUnderstanding (PCT)	4	Cognitive Engagement	Technology for Understanding	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT1PCT	CE_Class_Projector	2	Cognitive Engagement	Class Tech - Overhead Projector	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT2PCT	CE_Class_Smartboard	2	Cognitive Engagement	Class Tech - Smartboard	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT3PCT	CE_Class_GraphingCalc	2	Cognitive Engagement	Class Tech - Graphing Calculator	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT4PCT	CE_Class_NonGraphingCalc	2	Cognitive Engagement	Class Tech - Non-Graphing Calculator	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT5PCT	CE_Class_Computer	2	Cognitive Engagement	Class Tech - Computer Laptop	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT6PCT	CE_Class_TV	2	Cognitive Engagement	Class Tech - Television	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT7PCT	CE_Class_Tablet	2	Cognitive Engagement	Class Tech - Tablet	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT8PCT	CE_Class_Cell	2	Cognitive Engagement	Class Tech - Cell Phone	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXCT9PCT	CE_Class_NoTech	2	Cognitive Engagement	Class Tech - None	Percent present (Average percentage of segments present)	Technology definition: Tool that requires electricity. Check any technology that was used.
VIND_CEXST3PCT	CE_Stud_GraphingCalc	2	Cognitive Engagement	Student Tech - Graphing Calculator	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CEXST4PCT	CE_Stud_NonGraphingCalc	2	Cognitive Engagement	Student Tech - Non-Graphing Calculator	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CEXST5PCT	CE_Stud_Computer	2	Cognitive Engagement	Student Tech - Computer	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CEXST7PCT	CE_Stud_Tablet	2	Cognitive Engagement	Student Tech - Tablet	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CEXST8PCT	CE_Stud_Cell	2	Cognitive Engagement	Student Tech - Cell Phone	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CEXST9PCT	CE_Stud_NoTech	2	Cognitive Engagement	Student Tech - None	Percent present (Average percentage of segments present)	"Technology definition: Tool that requires electricity. Check any technology that was used. Check any technology that students used individually, in pairs, or in small groups."
VIND_CE10SUMAX	CE_SoftwareForLearning	2	Cognitive Engagement	Software Use for Learning	Highest achieved (Average maximum rating)	"Whether instructional software is used to assist or support learning of the mathematical topic through simulations, instructional games, interactive graphing, etc."
VIND_CM1TTLES	CM_TimeOnTask	4	Classroom Management	Time on Task	Basic Average (Average lesson rating for a teacher)	"Most of the segment for the ideal student is focused on mathematical learning. There is little loss of lesson time to activities or situations that are not directly focused on mathematical learning (e.g., greeting one another, behavior issues, classroom routines, transitions, off topic discussions). Mathematical learning can be the full range of activities in which the ideal student should be engaged - listening to a lecture, doing group work, working alone on a problem, etc."
VIND_CM2AWPCT	CM_WholeGroup	4	Classroom Management	Activity: Whole Group	Percent present (Average percentage of segments present)	Arrangement of students in grouping structures
VIND_CM3ASPCT	CM_SmallGroup	4	Classroom Management	Activity: Small Group	Percent present (Average percentage of segments present)	Arrangement of students in grouping structures
VIND_CM4APPCT	CM_Pairs	4	Classroom Management	Activity: Pairs	Percent present (Average percentage of segments present)	Arrangement of students in grouping structures
VIND_CM5AIPCT	CM_Individual	4	Classroom Management	Activity: Individual	Percent present (Average percentage of segments present)	Arrangement of students in grouping structures
VIND_DC1DOMAX	DC_DiscussionOpps	2	Discourse	Discussing Opportunities	Highest achieved (Average maximum rating)	Whether a segment of instruction engages students in discussions that are clear and focused on the learning objective.
VIND_QS1ELLES	QS_ExplicitLearningGoals	3	Quality of Subject Matter	Explicit Learning Goals	Basic Average (Average lesson rating for a teacher)	The extent to which the teacher poses explicit learning goal(s) to students for the lesson and activities.
VIND_QS2ACLES	QS_Accuracy (LESAVG)	3	Quality of Subject Matter	Accuracy	Basic Average (Average lesson rating for a teacher)	The extent to which the public mathematics of the lesson is factually correct and accurate. There are no errors or imprecisions in the teacher's mathematics.
VIND_QS2ACMIN	QS_Accuracy **(MIN)**	3	Quality of Subject Matter	Accuracy	Lowest achieved (Average minimum rating)	The extent to which the public mathematics of the lesson is factually correct and accurate. There are no errors or imprecisions in the teacher's mathematics.
VIND_QS3RWLES	QS_RealWorldConnections (LESAVG)	3	Quality of Subject Matter	Real-World Connections	Basic Average (Average lesson rating for a teacher)	The extent to which what is being learned is connected or applied to something outside of school a real-life problem or a student's life experiences.
VIND_QS3RWMAX	QS_RealWorldConnections **(MAX)**	3	Quality of Subject Matter	Real-World Connections	Highest achieved (Average maximum rating)	The extent to which what is being learned is connected or applied to something outside of school a real-life problem or a student's life experiences.
VIND_QS4CMLES	QS_ConnectingTopics (LESAVG)	3	Quality of Subject Matter	Connecting Mathematical Topics	Basic Average (Average lesson rating for a teacher)	The extent to which the topic being learned is connected to other mathematical topics.
VIND_QS4CMMAX	QS_ConnectingTopics **(MAX)**	3	Quality of Subject Matter	Connecting Mathematical Topics	Highest achieved (Average maximum rating)	The extent to which the topic being learned is connected to other mathematical topics.
VIND_QS5MSMAX	QS_MathSummary	3	Quality of Subject Matter	Mathematical Summary	Highest achieved (Average maximum rating)	The extent to which the teacher or students provide a summary of the mathematics under consideration in this lesson. A summary is a review of what has or should have been learned in this lesson.
VIND_QS6RGPCT	QS_Graphs	2	Quality of Subject Matter	Types of Representations: Graphs	Percent present (Average percentage of segments present)	"For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it."
VIND_QS7RTPCT	QS_Tables	2	Quality of Subject Matter	Types of Representations: Tables	Percent present (Average percentage of segments present)	"For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it."
VIND_QS8RDPCT	QS_Drawings	2	Quality of Subject Matter	Types of Representations: Drawings	Percent present (Average percentage of segments present)	"For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it."
VIND_QS9REPCT	QS_Equations	2	Quality of Subject Matter	Types of Representations: Equations	Percent present (Average percentage of segments present)	"For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it."
VIND_QS10ROPCT	QS_Objects	2	Quality of Subject Matter	Types of Representations: Objects	Percent present (Average percentage of segments present)	"For each segment of time, code the type of representation used at any point in the segment. Representation(s) can occur as part of a problem or part of a solution. They can be used by students or the teacher. If one is present, record it."
VIND_QS11OPLES	QS_OrgProclnstruction	3	Quality of Subject Matter	Organization of Procedural Instruction	Basic Average (Average lesson rating for a teacher)	"The degree of organization, detail and correctness in the presentation of content when describing procedures or the steps of a procedure. Procedures are instructions for completing a mathematical algorithm or task (e.g., presenting new procedures, reviewing previously learned material, and doing the steps or processes used in the context of solving a problem/ problems)."
VIND_SE1PSLESNO1	SE_Persistence (LESAVGNO1)	4	Social-Emotional Support	Persistence	Average excl. cases where the rating is equal to 1 (Average lesson rating for a teacher when present)	Student(s) persist through errors or mathematical struggles with the teacher's support.
VIND_SE1PSPCT	SE_Persistence **(PCT)**	4	Social-Emotional Support	Persistence	Percent present (Average percentage of segments present)	Student(s) persist through errors or mathematical struggles with the teacher's support.
VIND_SE2RPLES	SE_PublicSharing	3	Social-Emotional Support	Requests for Public Sharing	Basic Average (Average lesson rating for a teacher)	The teacher requests students share their private mathematical thinking publicly.
